field,value,count,problem_count,expanded_exact,canonical_exact
platform,atcoder,145,22,0.0,0.0
platform,leetcode,206,27,0.043689320388349516,0.038834951456310676
difficulty,easy,205,22,0.01951219512195122,0.01951219512195122
difficulty,hard,38,6,0.07894736842105263,0.07894736842105263
difficulty,medium,108,21,0.018518518518518517,0.009259259259259259
interface,functional,206,27,0.043689320388349516,0.038834951456310676
interface,stdin,145,22,0.0,0.0
test_source,private,228,44,0.03508771929824561,0.03070175438596491
test_source,public,123,49,0.008130081300813009,0.008130081300813009
trace_bin,1,30,3,0.03333333333333333,0.03333333333333333
trace_bin,11-25,83,27,0.03614457831325301,0.03614457831325301
trace_bin,2,23,3,0.0,0.0
trace_bin,26-100,63,26,0.0,0.0
trace_bin,3-5,58,9,0.0,0.0
trace_bin,6-10,34,14,0.08823529411764706,0.08823529411764706
trace_bin,>100,60,17,0.03333333333333333,0.016666666666666666
long_trace,False,143,24,0.027972027972027972,0.027972027972027972
long_trace,True,208,39,0.02403846153846154,0.019230769230769232
repeated_block,False,115,16,0.008695652173913044,0.008695652173913044
repeated_block,True,236,39,0.03389830508474576,0.029661016949152543
distinct_blocks,1,30,3,0.03333333333333333,0.03333333333333333
distinct_blocks,10,7,4,0.0,0.0
distinct_blocks,11,12,5,0.08333333333333333,0.08333333333333333
distinct_blocks,12,26,6,0.0,0.0
distinct_blocks,13,18,5,0.0,0.0
distinct_blocks,14,2,1,0.0,0.0
distinct_blocks,15,8,3,0.0,0.0
distinct_blocks,18,5,2,0.0,0.0
distinct_blocks,2,23,3,0.0,0.0
distinct_blocks,20,1,1,0.0,0.0
distinct_blocks,21,2,1,0.0,0.0
distinct_blocks,3,36,6,0.0,0.0
distinct_blocks,4,33,6,0.06060606060606061,0.06060606060606061
distinct_blocks,5,26,6,0.038461538461538464,0.038461538461538464
distinct_blocks,6,45,9,0.06666666666666667,0.06666666666666667
distinct_blocks,7,35,10,0.02857142857142857,0.0
distinct_blocks,8,18,4,0.0,0.0
distinct_blocks,9,24,6,0.0,0.0
compressed_runs,1,30,3,0.03333333333333333,0.03333333333333333
compressed_runs,10,9,8,0.0,0.0
compressed_runs,11,8,7,0.0,0.0
compressed_runs,12,7,4,0.14285714285714285,0.14285714285714285
compressed_runs,13,9,6,0.0,0.0
compressed_runs,14,6,2,0.0,0.0
compressed_runs,15,1,1,0.0,0.0
compressed_runs,16,1,1,0.0,0.0
compressed_runs,17,1,1,0.0,0.0
compressed_runs,18,1,1,0.0,0.0
compressed_runs,19,2,2,0.0,0.0
compressed_runs,2,23,3,0.0,0.0
compressed_runs,20,1,1,0.0,0.0
compressed_runs,21,1,1,0.0,0.0
compressed_runs,24,2,2,0.0,0.0
compressed_runs,26,1,1,0.0,0.0
compressed_runs,27,1,1,0.0,0.0
compressed_runs,28,1,1,0.0,0.0
compressed_runs,3,36,6,0.0,0.0
compressed_runs,30,2,2,0.0,0.0
compressed_runs,33,1,1,0.0,0.0
compressed_runs,34,1,1,0.0,0.0
compressed_runs,35,1,1,0.0,0.0
compressed_runs,4,80,19,0.075,0.075
compressed_runs,43,1,1,0.0,0.0
compressed_runs,44,1,1,0.0,0.0
compressed_runs,5,28,16,0.0,0.0
compressed_runs,6,41,21,0.024390243902439025,0.0
compressed_runs,7,27,11,0.0,0.0
compressed_runs,8,16,9,0.0,0.0
compressed_runs,9,11,9,0.0,0.0
selected_candidate,1,345,48,0.02608695652173913,0.02318840579710145
selected_candidate,3,6,1,0.0,0.0
helper_functions,False,351,49,0.02564102564102564,0.022792022792022793
