task_id,request_id,first_exact,repeat_exact
task_lcb_0446,task_lcb_0446/input_001/state/003,False,False
task_lcb_0163,task_lcb_0163/input_009/state/004,False,False
task_lcb_0063,task_lcb_0063/input_000/state/001,False,False
task_lcb_0574,task_lcb_0574/input_009/state/008,False,False
task_lcb_0433,task_lcb_0433/input_001/state/011,False,False
task_lcb_0413,task_lcb_0413/input_004/state/005,False,False
task_lcb_0190,task_lcb_0190/input_005/state/001,False,False
task_lcb_0831,task_lcb_0831/input_001/state/009,False,False
task_lcb_0337,task_lcb_0337/input_003/state/001,False,False
task_lcb_0077,task_lcb_0077/input_000/state/003,False,False
task_lcb_0660,task_lcb_0660/input_007/state/005,False,False
task_lcb_0581,task_lcb_0581/input_006/state/001,False,False
task_lcb_0553,task_lcb_0553/input_002/state/010,False,False
task_lcb_0116,task_lcb_0116/input_000/state/001,False,False
task_lcb_0055,task_lcb_0055/input_000/state/010,False,False
task_lcb_0171,task_lcb_0171/input_008/state/006,False,False
task_lcb_0998,task_lcb_0998/input_004/state/003,False,False
task_lcb_0998,task_lcb_0998/input_000/state/008,False,False
task_lcb_0106,task_lcb_0106/input_002/state/004,False,False
task_lcb_0080,task_lcb_0080/input_001/state/003,False,False
task_lcb_0055,task_lcb_0055/input_003/state/009,False,False
task_lcb_0424,task_lcb_0424/input_008/state/003,False,False
task_lcb_0109,task_lcb_0109/input_005/state/002,False,False
task_lcb_0055,task_lcb_0055/input_000/state/005,False,False
task_lcb_0553,task_lcb_0553/input_007/state/005,False,False
task_lcb_0012,task_lcb_0012/input_004/state/003,False,False
task_lcb_0831,task_lcb_0831/input_002/state/006,False,False
task_lcb_0831,task_lcb_0831/input_007/state/007,False,False
task_lcb_0781,task_lcb_0781/input_007/state/001,False,False
task_lcb_0109,task_lcb_0109/input_000/state/001,False,False
task_lcb_0446,task_lcb_0446/input_001/state/010,False,False
task_lcb_0553,task_lcb_0553/input_008/state/005,False,False
task_lcb_0446,task_lcb_0446/input_000/state/003,False,False
task_lcb_0094,task_lcb_0094/input_006/state/014,False,False
task_lcb_0678,task_lcb_0678/input_000/state/004,False,False
task_lcb_0106,task_lcb_0106/input_005/state/003,False,False
task_lcb_0553,task_lcb_0553/input_001/state/002,False,False
task_lcb_0191,task_lcb_0191/input_001/state/001,False,False
task_lcb_0779,task_lcb_0779/input_009/state/003,False,False
task_lcb_0553,task_lcb_0553/input_004/state/004,False,False
