field,value,count,problem_count,oracle_cf_state_exact,predicted_cf_state_exact,net_drop,end_to_end_joint_exact,oracle_position_accuracy,predicted_position_accuracy,oracle_prefix,predicted_prefix,oracle_normalized_prefix,predicted_normalized_prefix
platform,atcoder,977,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platform,leetcode,999,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
difficulty,easy,808,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
difficulty,hard,252,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
difficulty,medium,916,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interface,functional,999,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interface,stdin,977,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_source,private,1154,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_source,public,822,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trace_bin,11-25,520,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trace_bin,2,60,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trace_bin,26-100,549,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trace_bin,3-5,217,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trace_bin,6-10,146,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trace_bin,>100,484,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_trace,False,409,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_trace,True,1567,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated_block,False,301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeated_block,True,1675,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distinct_blocks,10,62,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
